"trial","ref_position","var_area","response","correct","rt"
1,"R",13.8808697347995,"L",TRUE,0.190000057220459
2,"R",9.50787415239029,"L",TRUE,0.297999858856201
3,"R",11.0434180812445,"L",TRUE,0.196999788284302
4,"L",13.9810777208768,"L",FALSE,0.135999917984009
5,"R",14.956116017187,"L",TRUE,0.136999845504761
6,"R",10.469609296415,"L",TRUE,0.121999979019165
7,"R",12.8104241900146,"L",TRUE,0.296000003814697
8,"R",14.6872472360265,"L",TRUE,0.29800009727478
9,"R",11.2482580821961,"L",TRUE,0.197000026702881
10,"L",13.4908337681554,"L",FALSE,0.297999858856201
11,"L",12.4210741112474,"L",FALSE,0.299000024795532
12,"R",12.442349079065,"L",TRUE,0.296000003814697
13,"L",9.30967880575918,"L",FALSE,0.290999889373779
14,"R",14.4331344172824,"L",TRUE,0.492000102996826
15,"R",11.2955416787881,"L",TRUE,0.294999837875366
16,"R",9.71015732805245,"L",TRUE,0.501000165939331
17,"R",10.9016834825743,"R",FALSE,0.400999784469604
18,"R",9.33481714944355,"L",TRUE,1.19099998474121
19,"R",14.6006586889271,"R",FALSE,0.692000150680542
